"","GSM362991","GSM362995","GSM363006","GSM363018","GSM363064","GSM363066","GSM363067","GSM363118","GSM363153","GSM363162","GSM363165","GSM363177","GSM363210","GSM363234","GSM363250","GSM363257","GSM363307","GSM363320","GSM363322","GSM363324","GSM363338","GSM363340","GSM363345","GSM363372","GSM363381","GSM363407","GSM362988","GSM362992","GSM363008","GSM363034","GSM363053","GSM363055","GSM363056","GSM363075","GSM363107","GSM363143","GSM363151","GSM363164","GSM363176","GSM363209","GSM363249","GSM363275","GSM363290","GSM363296","GSM363297","GSM363312","GSM363314","GSM363316","GSM363331","GSM363337","GSM363339","GSM363343","GSM363344","GSM363357","GSM363371","GSM363388"
"LAMP2",1.37273437950083,0.87895020236962,0.138954080167478,-0.30177890437939,0.374283729323674,0.042373703924181,0.775568391179617,0.605532517511844,0.702112893755139,1.32920519584188,0.421893773950648,0.02196939908405,0.781009539136985,0.514393289225918,-0.207919102114779,0.876229628390938,0.4912684104071,-0.459572195143082,0.436856930833414,-0.879900874849814,0.0546162868282611,0.507591854279206,0.273622492112351,1.13740473034464,0.789171261073038,-0.928871206466132,0.0586971477962878,-0.296337756422019,-0.787401359574546,1.10747841657911,-1.07034105335772,-0.912547762594027,-0.841812839148232,0.144395228124846,0.538878455034076,-1.05809847045364,0.177042115869057,1.1782133400249,1.54413054015795,0.945604264847389,-1.54644149962748,0.619135387405266,-0.288176034485966,-0.943834363348897,-1.4988314550005,1.28431572519359,-0.790121933553232,1.24486740250267,-1.369604191013,0.873509054412252,-0.0664492552231932,-2.24018786419199,1.6747180911348,-1.61445584909459,1.18909563593964,-0.886702309796526
"HSPA8",0.390234640973252,-0.575320071045199,-0.530340814274154,-0.947148593685846,-0.0640558524143121,-3.08516259886956,0.783053483440384,0.0438943638361994,-0.178003302900962,-0.106036492067289,0.190826602621614,0.505681400018937,0.528171028404458,0.123357717465046,-2.90824418890345,0.432215280626226,0.0873743120482103,-1.57086095424435,-0.6397903390837,-2.66085827666269,-0.800216354900429,-0.200492931286483,-0.489859483180214,-0.02657313843844,-0.509350494447667,-3.37902707644039,0.589642679324888,0.844525134360814,-0.792719812105256,0.895501625368,0.95697327628843,-0.579817996722304,0.934483647902906,1.3857755241724,0.244801710746869,-0.118030960539566,1.03643662991728,-0.813710131931743,0.77255832352714,1.04543248127149,-3.88879198651224,-0.103037874949218,-0.920161039623218,1.4892278147458,0.327263681493788,-0.656282733233082,1.03793593847631,-0.615801402139142,1.53570638007589,1.55969531702044,0.72907837531513,0.771059014968106,-0.629295179170456,0.1773328255903,-0.0580586181781733,0.607634382033307
"HSP90AA1",-0.222177341805723,-0.796570955347204,-0.65449787642875,-0.460999572625702,-0.997913784980103,-0.204745062183831,0.45506672150494,0.547457803500988,-0.169880502940036,-0.432236311249575,-0.848867794212891,1.4530647298585,0.238906454193427,-0.376453016459507,-1.54790220705093,-0.403473049873445,0.0837591655585535,-0.88286073947559,-0.174238572845509,-0.486276378077451,-0.885475581418875,-0.265758040860468,-0.841023268383038,-0.227407025692292,-0.725970222878525,0.294689748983495,-0.318926493707251,0.135184390443145,0.0436649224281929,-0.732071520746187,0.031462326692863,0.990237705897153,1.22034379690618,1.21598572700071,0.175278633573506,1.38769368127639,0.74880063313389,1.9228646656686,0.593653344499017,1.66399531328344,0.92486665731504,-0.517654481396865,0.0375636245605279,1.02510226514094,1.28310000354501,-1.07025774541097,1.33626845639179,1.1166217331559,1.46526732559383,0.672970216778645,0.0192597309575363,-0.218690885881346,-0.390398840157026,0.682557970570685,0.479471912975597,0.459424791410414
"HSP90AB1",0.50044881355093,-0.325286854849223,-0.613442266335958,-0.258670281225947,-0.530300651193727,-2.07797407095312,0.419372828598571,0.137930715228912,-0.287072696336646,-0.0624354131883855,-0.215808454786163,0.384257115370795,0.266516194548262,-0.117691020767384,-1.3178221610813,-0.345943156747913,-0.266416394437956,-1.67517618392865,-0.911925828772036,-1.82131951986189,-1.08079109679383,-0.307212590687869,-1.26308296104977,-0.386739352997827,-0.577810145560715,-1.73921071981459,0.976576572315747,1.20276307810641,0.297500647396297,0.970379681746142,0.849023908091333,0.186989432238301,0.910992813787405,0.8195886778857,0.563966941889406,-0.0340329980776862,1.2549202404006,0.726118911794125,0.522654338092022,1.49040208204567,-0.0376478509099578,-0.804513058898844,-1.5135406215714,2.29651426364207,1.92160238418084,-0.668181466367487,0.466882322965559,1.1697129950685,0.958502308154393,0.573778685291283,0.147226051083323,-0.689870583361111,-1.05910197980021,0.212293402064197,-1.91633850859586,0.402331379532151
"DNAJB1",0.232270565714161,-1.08067723886648,2.291752751244,0.611120017262657,0.223338947995925,0.113926630947539,0.264275529204504,0.60739850988006,-0.485980359127291,-0.680987345975437,0.511383619409025,4.72710718241626,-0.0892676721423225,-0.205378702479387,-0.21952043053326,-0.668334220874602,-0.351261791877236,-0.953401686381625,-1.03899635618138,-0.739787162620488,-0.396664181944934,-1.12384672450462,-1.00401418678496,-0.71522521389534,-1.03527484879878,-2.06017798196633,2.17117591204782,-0.263434217647918,-1.02113312074491,-0.52617263885935,0.697458988538935,-0.293950578185224,-0.324466938722529,0.2754400513523,-1.31513220397017,0.375920750682452,0.0290762626242993,0.182402366787345,0.0819216674571948,1.22740163982092,1.13287535230292,-0.913209406649564,0.250878102627153,0.429510456991865,1.2571736988817,-1.20050977658614,-0.314046718051255,1.03983766773797,4.8505040033574e-05,-1.4148686018238,-0.974242127724174,-1.06653551081261,-0.360193409595472,0.163794829874355,-0.342330174159,-0.86036400181667
"GFAP",-1.46801143773583,-0.471475207052724,-0.163023516603189,-0.509438492031128,0.323381072182613,0.781313197234611,-0.357585352117511,-0.604346704477136,2.14324604583486,0.423034695250924,0.978247738060083,0.0695016038895358,-0.0443882510456765,0.0434018454668827,-0.212850328137346,0.0267929082888317,-0.575874240743332,0.567769719231089,0.605733004209493,1.59989652958145,-0.580619651365634,-0.17014163253664,0.0220474976665296,-0.234204675937697,-0.955507090527375,1.30568107099882,-0.931780037415871,0.166782521646695,0.622341941387544,-0.279286076849552,0.425407400562073,2.74354048955587,0.344735419982964,-0.898562163059769,-0.0301520191787766,-0.848735351525614,-0.872462404637116,-0.528420134520328,-0.34097641493946,-0.791790424058007,-0.528420134520328,0.681659574166301,1.78734024916232,-0.191495980336993,-0.0206611979341724,1.27958131257617,-0.72298197003465,0.525061023630383,-0.585365061987936,-0.393175931784764,-0.692136800989697,0.427780105873224,0.38981682089482,-0.184377864403542,1.05654701332804,-0.611464820410587
"EEF1A1",-0.558271275925009,0.389332215143557,-0.233034484498936,-0.399668149241922,-0.108561144570429,-1.1143860365733,0.519828458616977,0.0701183272624118,-0.126629855205211,-0.22500394643903,0.124324459166752,0.100232844987049,0.274897047789934,0.487706306377369,-0.983889793099864,0.246790164580281,0.481683402832441,-0.690775153913407,-0.652630098128864,-0.825286666416777,-0.102538241025501,0.212660377825687,-0.33542384476269,-0.847370646081516,-0.0322710330013563,-2.96944032841091,-0.775095803542385,1.38712656908651,0.531874265706832,1.83884433495606,1.5296686196498,1.4212563558411,-2.08808877633655,0.240767261035354,-1.79898940618003,0.0861794033822162,1.09601956441503,-1.47375261475395,-0.0804542613607765,1.10806537150488,0.144400804316513,-0.231026849983951,0.889233209372528,0.674416316270122,0.6342636259706,-1.10836313302837,0.0279580024479191,1.24257688400825,1.53167625416477,1.41121818326622,0.78684384910876,-1.16056163041773,-2.53980654220609,1.17833257952904,-1.5861801475926,0.00788165729815825
"PHLPP1",-0.758424472314428,0.000430629384686343,1.46755049266964,-0.913261573873236,0.484871461984527,0.00962887304164567,-0.119146538155779,-0.0624240356045339,-0.140609106688683,-0.614318655022071,0.156800771552989,-0.63271514233599,0.601382548306008,-0.145208228517162,1.11035203065774,-1.30571996990349,-0.192732487411451,-0.224926340210806,-0.00263545183429828,0.564589573678173,1.37863413731904,-0.615851695631564,1.25752392916908,-0.753825350485948,0.921788035690078,-0.510071893576534,-0.569860477346767,1.26978825404503,-0.582124802222714,-0.911728533263743,0.179796380695388,-2.15042534573422,-1.11408989371684,0.702563228532558,0.126139959363127,-0.753825350485948,-0.776820959628346,0.521664436612361,-0.520803177842986,0.0939461065637692,0.940184523003997,-0.298512289466478,0.113875634487183,0.0847478629068125,-2.1764870360956,0.188994624352347,-0.617384736241056,-0.106882213279833,-0.946988467282086,-1.48815180243317,0.034157522793539,-0.882600761683373,-0.0915518071849014,1.3433742033007,1.11648419309571,-2.43097177727147
"RAC1",0.25913954730117,-0.151254212919014,-0.701205505433091,-0.0258889720448353,-0.849041874388484,-0.365321275166426,-0.0992158110467136,-0.562830664090838,0.215379982090373,-0.165446504338733,-0.77098427158004,-0.722493942562665,-0.755609289208672,-0.77689772633825,-0.735503543030743,-0.668090158787079,-0.383061639441074,-0.455205787491308,-0.367686657069715,-1.55629106347111,-1.10805119279834,-0.920003331487077,-1.07848391900726,-0.747330452547172,-0.78044579919318,-1.49006037017909,-0.137061921499295,-0.4824076793791,1.16981158006642,0.13495699737864,0.240216492074881,1.57074381267345,0.635235269923697,0.216562673042014,0.295802966802107,1.20529230861571,1.61095530502932,1.43355166228285,-0.562830664090838,0.341927913916192,0.373860569610559,-1.05719548187768,0.0273321207791096,0.783071638879094,0.984129100658436,-0.205657996694599,0.0982935778776987,1.53999384793073,0.208283836380514,0.898975352140129,0.770062038411024,-0.665724776883794,1.57429188552838,-0.302638654729341,0.13140892452371,0.70619672702229
"AKT1",0.215092751087686,0.535540248523277,1.34959631343729,1.00327417335162,-0.672606527522703,1.22420381444075,0.41014774952674,0.6191352478543,-0.417840815275775,-0.184969031425067,1.41726845575288,0.233005965230049,0.47981024896926,0.139459180264381,1.57848738303414,0.668894176027528,0.0976616805988675,0.814190246293354,0.244948107991624,-0.212834031202076,1.23614595720233,0.818170960547211,0.386263464003592,0.298687750418711,0.137468823137451,-0.937324025404277,-1.24383902295136,-2.22309472940049,-0.823873669169316,-0.266573673629162,-0.119287246236407,0.386263464003592,-0.473570814829792,-0.977131167942859,-1.04480331025845,-0.0993836749671146,-1.02888045324302,1.8014073812502,0.443983820684536,0.436022392176821,0.523598105761701,-0.509397243114515,-1.86084973229939,-0.606924742334042,-0.409879386768059,1.32372167078721,0.402186321019025,-0.42978295803735,-1.36724116482097,0.380292392622804,-1.66181401960648,-0.991063667831364,-0.47556117195672,-1.70958259065278,-2.05192401648459,-0.913439739881127
"AKT2",-0.738979074544037,-0.387714194934903,0.550278835230145,-0.333673444225806,2.93965202729667,1.92059787106798,1.03278553798994,-1.14428470486227,0.747141569956144,0.233754438219718,1.27982896980296,-0.407014463045295,-0.704238591945332,-0.163831084854357,-1.07480373966486,-0.839340468718075,-0.283492747138788,-0.383854141312825,0.376576422236618,1.07138607421073,-0.295072908005022,0.376576422236618,-0.314373176115413,-0.534396232573883,-0.244892210918003,0.295515296172972,-0.0943501196569451,-0.356833765958276,1.03664559161202,0.461497601922342,1.27982896980296,0.388156583102854,0.546418781608067,-0.256472371784238,0.044611810737877,-0.615457358637529,0.144973204911914,0.168133526644386,-0.198571567453062,-0.325953336981649,0.507818245387282,-0.572996768794666,-0.310513122493335,-0.893381219427173,-0.356833765958276,0.523258459875596,1.25280859444841,-0.183131352964749,-0.0132889935932993,-0.179271299342671,-1.04778336431031,-0.20243162107514,-1.02848309619992,-1.12884449037395,-1.00146272084537,-0.325953336981649
"CTSA",0.479410231940209,0.078343306493796,-0.402474679055796,-0.260309745828391,-0.968822787034882,-1.1294807197065,-0.0187449405883326,-0.483381551624237,-0.914499601167499,-0.359709617841047,-0.560820986796885,-0.733037044121139,-0.300763182112612,-0.449862990131595,-0.556197736935832,-0.169000561072581,-0.189805185447321,-1.45657564737605,-0.404786303986321,-0.966511162104354,-1.05088547206859,-0.469511802041075,-0.876357789813806,0.0263317455569413,-0.597806985685316,-0.163221498746263,1.91261768886688,1.58552276119732,0.221664052186463,0.977565404468753,-0.493783863811606,0.0113061835085166,2.06171749688586,1.40637182908149,2.50901692094281,0.606549603119189,1.09199083852983,0.693235538013946,0.388101047184399,1.40174857922043,0.215884989860145,-0.520367550512667,0.373075485135974,0.8654515953382,0.568407791765494,0.284077925310689,-0.106586687948355,0.800726097283446,-0.105430875483092,0.118796742778017,-0.239505121453651,0.19739199041593,-0.555041924470569,0.48634510673179,-0.63248135964322,0.51986366822443
"NFATC1",0.16949999115701,1.17798400616021,0.800357833141391,3.20828001874375,-0.85675466728237,0.738160581114761,-0.57686703316254,1.43565833598482,0.342763764659763,1.44454365770291,0.764816546269031,1.29793584935442,0.00956420023139239,-0.550211068008269,0.640422042215775,0.307222477787404,0.511584877303468,2.8972937586106,-0.736802824088158,2.04430287367397,0.604880755343415,-0.350291329351247,-0.345848668492203,0.689291311665266,0.698176633383359,0.853669763449932,-0.00820644320478738,-1.18995423171074,-0.434701885673102,-0.483571155122597,-1.44762856153535,1.29793584935442,0.293894495210269,-1.82081207369512,-1.11887165796602,0.62709405963864,-1.23438084030119,0.360534408095943,0.569339468471056,0.87144040688611,0.14284402600274,0.551568825034874,-0.0615183735133267,-0.754573467524337,-0.612408320034899,0.587110111907234,-0.0792890169495064,-1.60312169160192,0.658192685651953,-0.523555102854001,-0.998919814771808,0.715947276819537,-0.336963346774112,-0.572424372303495,-0.661277589484392,-1.11887165796602
"NCOR1",0.125707418014954,0.459794069980296,1.08231578171696,0.698427392812682,1.0242137552882,-0.126759720633804,0.25782035906129,-0.0319980822916671,-0.115692667980708,-0.473296806833878,0.981328926257455,-0.404819418542846,0.82500680753247,0.905934630058237,0.0862810429382994,-0.246422227445407,0.406533879087269,-0.414503089614304,-0.492664148976796,0.925301972201154,1.5734162431981,0.654850872991117,1.82242492789277,-0.103933924536792,1.3340912295749,-0.204920779996295,-0.220137977394303,-1.84422795423617,-0.788016116656302,-0.731989162600003,-0.957480360406837,-0.938804709054738,-0.000180305914014715,-0.27685662224142,-0.16549440491964,-1.5502593681383,-1.95559017155795,0.0551549573514652,-0.83574278122278,0.439735037046559,-0.629618925558863,-0.724380563900998,0.384399773781078,-0.745822978416373,-1.14354518313702,-1.8227855397208,-0.289998747266972,-0.760348485023561,-2.50548435025867,-0.184861747062559,0.53242160301624,0.674218215134034,-0.72368887311018,-0.11015914165416,-0.812225294334949,-0.305215944664981
"NFE2L2",0.451638654814718,0.33865943333269,0.61878599618539,0.0337703013880415,0.078652457867203,0.524378701522326,1.06451223984051,0.97474792688219,0.217941909009429,0.295324937421777,-0.627080761253407,0.533664664931808,0.177702734235008,1.08308416665948,0.374255626402372,0.754980126191121,1.05522627643103,-0.00801653395462504,-0.446004474768515,-0.373264428060907,0.576999160842724,-0.158139609074582,0.278300671171059,0.114248650936882,1.06451223984051,-1.11304617968295,-0.28504777567083,0.176155073666762,-0.381002730902143,-0.972209067972479,0.97474792688219,-0.0590893327067764,-1.78782618743862,0.5630702157285,-1.24304966741569,-0.302072041921548,0.775099713578331,0.725574575394428,0.971652605745695,0.0724618155942159,0.227227872418911,-0.699820807961015,-0.144210663960358,1.46380866644823,-0.602318192161456,-1.50769962458592,-0.501720255225404,-1.39626806367214,-0.0869472229352199,-0.0250408002053431,-0.800418744897066,-0.348501858968956,1.14499058938935,-0.015754836795861,-0.489338970679427,-0.337668234991228
"RAB11A",0.580623306449598,0.00473639570488982,-0.313626556399999,-0.0135986434215699,-0.934517654091471,-1.36205743008573,-0.0669369390621796,-0.552815475913357,-0.11110771513956,-0.388633534644606,-0.696995556316881,-0.0969397303600237,-0.235285934677855,0.0722426761250345,-0.306125858575539,-0.604486949815198,0.19058701957764,-1.49706999092603,-0.63615656285181,-1.78209650825553,-0.897847575838552,-0.199449267294318,-0.668659586757807,0.124747560896262,-0.572817336778586,-2.39632031899193,0.410607489095154,0.6881333086002,0.82981315639557,-0.43530454333014,0.17058515871241,2.23077682783096,0.913154243334021,1.31569169324675,1.26235339760614,0.323099347809778,0.976493469407246,0.763140286844807,0.371437178234081,-0.17027988686586,0.854815482477106,-0.969520910605621,0.146416243500259,1.54071262798057,0.863983002040336,-0.706996486749496,1.75323239967363,2.12243341481097,0.509783382551912,1.20318122587984,2.14160186480681,-0.363631208563069,0.370603767364697,0.113913219594261,0.151416708716566,0.268927641299783
"RARA",-1.01008999099792,-0.173785196257318,0.0818624779643344,-0.00335341344288178,-0.9248740995907,1.59196734429689,0.010518940972246,-0.564192884797363,1.58007675479821,-0.36997992298556,0.870604914710212,-0.667244660452602,-0.0132622380251144,-0.992254106749896,1.05887258177267,-1.31131825829785,-0.520594056635527,0.688282542397094,-1.01008999099792,1.22137730492132,-1.46193239194782,-0.302599915826366,-0.605809948042743,-0.110368718931016,-0.0925328346829966,1.91895855551063,-1.53327592893991,-0.433396400311865,-1.19241236331103,-0.649408776204579,-1.13097765090118,0.644683714235261,-1.23204766163997,-0.73858819744469,1.24714024883513,-0.976399987418319,0.694227837146435,1.20155965575685,0.232476611614301,0.0640265937163114,2.12506210682111,1.27092142783249,0.349400741684672,0.920149037621386,0.511905464833317,-0.255037557831639,-0.332326389573071,0.216622492282728,-1.48769533586162,0.0580812989669704,-0.500776407471058,1.1658878872608,0.670446658149071,-0.0548793012705013,0.91024021303915,-0.857494092431507
